SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
4000,ÇOCUK,Elbise,Kısa kollu elbise,116709,144430499 MIDI TUTU DRESS TÜL ELBISE,495,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,18,120.0,228.17
4000,ÇOCUK,Elbise,Kısa kollu elbise,116754,144430499 MIDI TUTU DRESS TÜL ELBISE,210,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,118,120.0,218.57
4000,ÇOCUK,Elbise,Kısa kollu elbise,116610,144430499 MIDI TUTU DRESS TÜL ELBISE,444,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,163,120.0,214.74
4000,ÇOCUK,Elbise,Kısa kollu elbise,117007,144430499 MIDI TUTU DRESS TÜL ELBISE,524,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,144,120.0,212.2
4000,ÇOCUK,Elbise,Kısa kollu elbise,116649,144430499 MIDI TUTU DRESS TÜL ELBISE,515,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,177,120.0,211.77
4000,ÇOCUK,Elbise,Kısa kollu elbise,117742,144430499 MIDI TUTU DRESS TÜL ELBISE,495,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,37,120.0,197.41
4000,ÇOCUK,Elbise,Kısa kollu elbise,117608,144430499 MIDI TUTU DRESS TÜL ELBISE,531,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,16,120.0,196.63
4000,ÇOCUK,Elbise,Kısa kollu elbise,117337,144430499 MIDI TUTU DRESS TÜL ELBISE,531,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,175,120.0,193.29
4000,ÇOCUK,Elbise,Kısa kollu elbise,117008,144430499 MIDI TUTU DRESS TÜL ELBISE,515,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,162,120.0,186.68
4000,ÇOCUK,Elbise,Kısa kollu elbise,117308,144430499 MIDI TUTU DRESS TÜL ELBISE,524,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,202,120.0,177.85
4000,ÇOCUK,Elbise,Kısa kollu elbise,116950,144430499 MIDI TUTU DRESS TÜL ELBISE,444,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,171,120.0,176.8
4000,ÇOCUK,Elbise,Kısa kollu elbise,117651,144430499 MIDI TUTU DRESS TÜL ELBISE,444,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,138,120.0,176.08
