UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
454,2220847 BEGONIA BLUZ,454,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,1,30.0,32174.0
61,2218178 ASKILI BÜRÜMCÜK ELBISE,61,ELBISE,ÖN ARKA TULUM,REÇME,1,27.0,31201.0
194,2228557 JISSO ELBISE,194,ELBISE,YAKA ALT KAPAMA,OVERLOK,1,12.0,27035.0
327,CDKW24HLELO -CLP91  LEOPARD TSHIRT,327,T-SHIRT,ÖN KALITE KONTROL,MANUEL,1,65.0,16098.0
392,MSBS24HMACR-BXC21 BABY TSHIRT,392,T-SHIRT,YAN ÇATMA,OVERLOK,1,36.0,15973.0
14,2220847 BEGONIA BLUZ,14,T-SHIRT,TALIMAT HAZIRLIK,DÜZ,1,8.57,10196.0
301,2228071 MILKY WAY SIYAH ELBISE,301,ELBISE,FIRFIR BEDENE TAKMA,DÜZ,2,103.0,5423.5
598,2233337 SET SALOPET,598,ELBISE,IPLIK TEMIZLEME,IPLIK TEMIZLEME,6,18.0,5242.83
533,2218178 ASKILI BÜRÜMCÜK ELBISE,533,ELBISE,ÖN KALITE KONTROL,MANUEL,1,48.0,5033.0
484,2228588 JISSOANA ELBISE,484,ELBISE,BEDEN AYIRMA,MANUEL,1,12.0,4357.0
329,2229267 SALOPET SET,329,ELBISE,SON KALITE KONTROL,MANUEL,3,12.0,3923.67
116,2219384 PALAZZO TSHIRT,116,T-SHIRT,TALIMAT HAZIRLIK,DÜZ,7,9.0,3867.29
455,2222582 COMPONI,455,ELBISE,BEDEN ÜTÜ,ÜTÜ,4,50.0,3729.25
492,2233327 HARRY POTTER SWEAT,492,T-SHIRT,SON KALITE KONTROL,MANUEL,8,24.0,3693.0
464,2222518 AMBER CEPLI T-SHIRT,464,T-SHIRT,YAN ÇATMA,OVERLOK,6,48.0,3613.5
478,2228557 JISSO ELBISE,478,ELBISE,TALIMAT TAKMA,DÜZ,4,22.0,3525.75
399,CDKS24HDONU-BXA79 T-SHIRT,399,T-SHIRT,KOL ALTI TUTTURMA,DÜZ,3,50.0,3275.33
12,2218178 ASKILI BÜRÜMCÜK ELBISE,12,ELBISE,ALT ETEK BIRLESTIRME,DÜZ,5,30.0,3094.8
372,2226835 CHAIKA BLUZ,372,T-SHIRT,NERVÜR 1 OVERLOK,REÇME,1,18.0,3029.0
485,2222582 COMPONI,485,ELBISE,ÜRÜN KATLAMA,MANUEL,2,18.0,2916.5
436,CVKW24SGPAR-CPL95 BASKILI SWEAT,436,T-SHIRT,YAKA UCU BIRLESTIRME,DÜZ,4,16.0,2913.75
150,2222514 GIZELLI TEK KOLLI TSHIRT,150,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,12,18.0,2676.42
476,2222518 AMBER CEPLI T-SHIRT,476,T-SHIRT,YAKA ALT KAPAMA,OVERLOK,1,18.0,2621.0
369,2220847 BEGONIA BLUZ,369,T-SHIRT,YAN ÇATMA,OVERLOK,2,50.0,2412.5
462,CDKW24HLELO -CLP91  LEOPARD TSHIRT,462,T-SHIRT,KOL REÇME,REÇME,1,24.0,2330.0
553,2229267 SALOPET SET,553,ELBISE,ÖN PARÇA BIRLESTIRME,OVERLOK,1,27.0,2261.0
386,CDKS24HCARE - CLQ04 TSHIRT,386,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,10,27.0,2207.3
563,2231665 OBONODY ZIBIN,563,T-SHIRT,OMUZ SLIKON TAKMA,REÇME,6,25.0,2129.83
519,MSBS24X2REA BYDO2  BABY  TSHIRT,519,T-SHIRT,KOL FIRFIR TUTTURMA,DÜZ,1,42.3,1908.0
14,2220847 BEGONIA BLUZ,14,T-SHIRT,TALIMAT HAZIRLIK,DÜZ,3,8.57,1867.67
563,2231665 OBONODY ZIBIN,563,T-SHIRT,PAÇA LASTIK KAPAMA,DÜZ,20,36.0,1712.75
449,2222514 GIZELLI TEK KOLLI TSHIRT,449,T-SHIRT,ÖN KALITE KONTROL,MANUEL,1,36.0,1592.0
192,2222546 BEGOTANA ELBISE,192,ELBISE,ÖN KALITE KONTROL,MANUEL,3,60.0,1535.33
524,2230347 KAPSONLU SWEAT,524,T-SHIRT,BIYE UCU TUTTURMA,DÜZ,4,24.0,1485.5
626,2231665 OBONODY ZIBIN,626,T-SHIRT,IPLIK TEMIZLEME,IPLIK TEMIZLEME,11,24.0,1448.0
95,TOLS24GDAME -CES90 T-SHIRT,95,T-SHIRT,KOL EVI BIYE,OVERLOK,15,48.0,1322.73
12,2222546 BEGOTANA ELBISE,12,ELBISE,KOL AGZI LASTIK TUTTURMA,DÜZ,2,55.0,1308.0
492,MSKW24HMIXS  MAVI PARÇALI TSHIRT,492,T-SHIRT,SON KALITE KONTROL,MANUEL,4,18.0,1294.5
