iter	RMSE
0	20.74085035
1	19.872244
2	19.01833325
3	18.18639564
4	17.41756066
5	16.72398529
6	16.05986651
7	15.46879753
8	14.90039714
9	14.36472407
10	13.87972481
11	13.43422526
12	13.02379907
13	12.61572741
14	12.26016015
15	11.92340944
16	11.62781087
17	11.36766579
18	11.09900581
19	10.86082466
20	10.64400951
21	10.45167719
22	10.2772962
23	10.12300464
24	9.965734413
25	9.815274677
26	9.674031413
27	9.560719162
28	9.451415177
29	9.346444773
30	9.255184577
31	9.164078069
32	9.082938302
33	9.009211257
34	8.937102177
35	8.878410931
36	8.822937693
37	8.772728653
38	8.72436875
39	8.68593308
40	8.645589391
41	8.601418812
42	8.565884694
43	8.532680101
44	8.503462261
45	8.477690214
46	8.452623098
47	8.423972182
48	8.404568798
49	8.387968827
50	8.369691054
51	8.348835334
52	8.328798622
53	8.312438497
54	8.296354223
55	8.282800088
56	8.271118472
57	8.257903098
58	8.247518251
59	8.236661885
60	8.226873899
61	8.212170681
62	8.201331777
63	8.193474001
64	8.183092284
65	8.176076301
66	8.170288849
67	8.161899359
68	8.150122734
69	8.138954167
70	8.133300691
71	8.125909996
72	8.11943356
73	8.112294405
74	8.102030802
75	8.094288963
76	8.088735793
77	8.077977697
78	8.071156782
79	8.065749285
80	8.058690005
81	8.052959332
82	8.044334892
83	8.039095694
84	8.031272953
85	8.026049156
86	8.022516296
87	8.016692853
88	8.013908643
89	8.008957268
90	8.003929885
91	8.000475708
92	7.997995253
93	7.995758984
94	7.989257221
95	7.984675465
96	7.981155174
97	7.974807881
98	7.96926594
99	7.96536047
100	7.962147923
101	7.958146
102	7.954285677
103	7.9456073
104	7.941805554
105	7.933811451
106	7.929812484
107	7.923874384
108	7.919376712
109	7.915276431
110	7.910011903
111	7.906851852
112	7.903539284
113	7.896293364
114	7.893342684
115	7.890314221
116	7.88545884
117	7.877436
118	7.870190208
119	7.867231024
120	7.864703372
121	7.862090961
122	7.856170275
123	7.853212377
124	7.850923427
125	7.848033931
126	7.845163332
127	7.839710762
128	7.835352314
129	7.832410135
130	7.828052121
131	7.823518718
132	7.817559843
133	7.814328781
134	7.81132984
135	7.8080454
136	7.804912453
137	7.802563681
138	7.799911625
139	7.795879825
140	7.792483126
141	7.787812191
142	7.782953566
143	7.775934322
144	7.774180883
145	7.768713419
146	7.765085129
147	7.76117883
148	7.757571366
149	7.755858891
150	7.752109153
151	7.747645857
152	7.744334467
153	7.741417905
154	7.737595416
155	7.732441657
156	7.72808212
157	7.725486268
158	7.720462885
159	7.718319217
160	7.713362709
161	7.708540137
162	7.704575032
163	7.700565157
164	7.697623692
165	7.694530678
166	7.69049358
167	7.687967623
168	7.685027532
169	7.682596005
170	7.678928768
171	7.674499774
172	7.67148876
173	7.666990357
174	7.6620797
175	7.658909154
176	7.655713691
177	7.652342717
178	7.65138672
179	7.647690499
180	7.645433899
181	7.642994882
182	7.641369709
183	7.640486429
184	7.638093622
185	7.634275779
186	7.631107768
187	7.628472259
188	7.625184691
189	7.620191073
190	7.615794276
191	7.613809616
192	7.611272217
193	7.60858009
194	7.603020428
195	7.602056397
196	7.597576513
197	7.59169656
198	7.590621011
199	7.587761257
200	7.585370201
201	7.581735029
202	7.580752935
203	7.577689822
204	7.573362651
205	7.572610118
206	7.569777922
207	7.566877468
208	7.563474911
209	7.55831524
210	7.553507096
211	7.550755975
212	7.54630265
213	7.543351903
214	7.53882553
215	7.538015767
216	7.534318603
217	7.530282521
218	7.529419738
219	7.525187756
220	7.52290012
221	7.520383065
222	7.515816291
223	7.512100282
224	7.50802986
225	7.507292684
226	7.504085317
227	7.501131299
228	7.499151823
229	7.495485012
230	7.493191722
231	7.492363189
232	7.490114308
233	7.487131432
234	7.484458707
235	7.482019376
236	7.4783666
237	7.474007012
238	7.468352158
239	7.464765311
240	7.462453918
241	7.458913269
242	7.456017971
243	7.455428752
244	7.454814036
245	7.452094949
246	7.449267941
247	7.446524591
248	7.444577092
249	7.442426806
250	7.439071756
251	7.435447298
252	7.434800434
253	7.430233088
254	7.428010663
255	7.427532095
256	7.424315056
257	7.421827045
258	7.418205424
259	7.415304181
260	7.412539118
261	7.409758693
262	7.405379036
263	7.403387999
264	7.399832208
265	7.399158124
266	7.397369768
267	7.393537145
268	7.389775064
269	7.387592646
270	7.387132392
271	7.384703061
272	7.3805571
273	7.377577455
274	7.375108779
275	7.371962583
276	7.369231248
277	7.367404783
278	7.364755784
279	7.364398591
280	7.3622603
281	7.359615449
282	7.357487782
283	7.354328413
284	7.350667141
285	7.34842441
286	7.345762721
287	7.343667962
288	7.34077997
289	7.339228963
290	7.337124167
291	7.334353992
292	7.331698857
293	7.329698096
294	7.327684594
295	7.324827095
296	7.323150747
297	7.320861792
298	7.31748108
299	7.31685414
300	7.314879225
301	7.312112933
302	7.309262271
303	7.306626884
304	7.304617914
305	7.301827624
306	7.299363722
307	7.296670993
308	7.292644358
309	7.28973027
310	7.288131565
311	7.285120758
312	7.283141967
313	7.281479334
314	7.279081664
315	7.276631331
316	7.274925588
317	7.273505433
318	7.270559426
319	7.268899155
320	7.267803673
321	7.267142793
322	7.264456091
323	7.263082581
324	7.260661623
325	7.257760029
326	7.254444229
327	7.253883779
328	7.25331562
329	7.250386223
330	7.247783312
331	7.245776275
332	7.243841226
333	7.240667753
334	7.238195112
335	7.236623469
336	7.234969967
337	7.232051028
338	7.230179256
339	7.228565965
340	7.226635095
341	7.223069963
342	7.221057233
343	7.218098339
344	7.216017694
345	7.212885914
346	7.210722894
347	7.20919094
348	7.207227431
349	7.204783927
350	7.203037605
351	7.201171454
352	7.199859908
353	7.197074568
354	7.194626638
355	7.191614671
356	7.189420763
357	7.188865188
358	7.187145354
359	7.183433836
360	7.180862718
361	7.179025056
362	7.176851156
363	7.176346108
364	7.173944519
365	7.171538609
366	7.169697989
367	7.169189032
368	7.167449646
369	7.165351308
370	7.162429091
371	7.162039196
372	7.16020027
373	7.157072703
374	7.155864127
375	7.153127691
376	7.151607622
377	7.14846495
378	7.146258651
379	7.144442297
380	7.142713701
381	7.140461354
382	7.137838848
383	7.135980009
384	7.134836124
385	7.133310806
386	7.130706298
387	7.129270284
388	7.126979743
389	7.124669365
390	7.122878036
391	7.120773529
392	7.118138914
393	7.116635766
394	7.114921947
395	7.114465025
396	7.113985285
397	7.111734893
398	7.110210639
399	7.108387678
400	7.105937162
401	7.103828268
402	7.101753979
403	7.098471535
404	7.097163168
405	7.094917807
406	7.093488172
407	7.091838114
408	7.09157387
409	7.090257727
410	7.088298147
411	7.086609545
412	7.084859755
413	7.082357615
414	7.080402468
415	7.078923604
416	7.077370724
417	7.075468124
418	7.072526443
419	7.070432787
420	7.068327044
421	7.066718461
422	7.065729687
423	7.063777952
424	7.062412651
425	7.060375027
426	7.059051798
427	7.058799289
428	7.05779744
429	7.055306879
430	7.053383638
431	7.051533334
432	7.051113662
433	7.050873164
434	7.049295374
435	7.04633458
436	7.044842079
437	7.041969182
438	7.039332968
439	7.036722806
440	7.034486496
441	7.033060304
442	7.03106076
443	7.029619367
444	7.028180475
445	7.024665756
446	7.022706227
447	7.021043959
448	7.018830088
449	7.017189618
450	7.016165853
451	7.014393701
452	7.011923382
453	7.009570723
454	7.007633033
455	7.006217389
456	7.005175482
457	7.003707004
458	7.000660847
459	6.999481127
460	6.998007767
461	6.995840848
462	6.994099576
463	6.993708395
464	6.992643534
465	6.991409084
466	6.989233424
467	6.987284639
468	6.985769079
469	6.983572979
470	6.98147629
471	6.979373211
472	6.977502835
473	6.976413599
474	6.974251444
475	6.972460704
476	6.971128228
477	6.969609122
478	6.967101237
479	6.965688738
480	6.965336119
481	6.962589912
482	6.962248394
483	6.9602752
484	6.958723341
485	6.956379188
486	6.954374563
487	6.952867676
488	6.951830946
489	6.950383914
490	6.949175335
491	6.947511141
492	6.945056424
493	6.943706027
494	6.941003838
495	6.939641716
496	6.937953268
497	6.937064123
498	6.935310877
499	6.933406594
500	6.931870829
501	6.931514311
502	6.929840254
503	6.928392791
504	6.927426604
505	6.926219161
506	6.92457602
507	6.923486507
508	6.921175673
509	6.920906628
510	6.919337994
511	6.917738929
512	6.916481113
513	6.914973919
514	6.913537685
515	6.91199299
516	6.909809725
517	6.907822582
518	6.906217381
519	6.90522278
520	6.904529185
521	6.902050452
522	6.900837554
523	6.899298727
524	6.896936874
525	6.895662367
526	6.894178516
527	6.893887391
528	6.892119868
529	6.891033801
530	6.890447499
531	6.888599967
532	6.886627444
533	6.885596106
534	6.883299168
535	6.881152065
536	6.87931849
537	6.877405935
538	6.876260352
539	6.874342816
540	6.872841392
541	6.871358859
542	6.871010974
543	6.87078451
544	6.86868265
545	6.866998537
546	6.865651096
547	6.864245726
548	6.862971831
549	6.861062689
550	6.859350349
551	6.857085525
552	6.855714827
553	6.853559711
554	6.852286304
555	6.849949827
556	6.848904811
557	6.846679345
558	6.844810317
559	6.843529045
560	6.842808686
561	6.841444591
562	6.839504276
563	6.837767049
564	6.836605878
565	6.834068716
566	6.833829951
567	6.832634304
568	6.831434844
569	6.830395908
570	6.828716078
571	6.827619744
572	6.827234076
573	6.826077586
574	6.823945633
575	6.822274727
576	6.820767823
577	6.819243417
578	6.818313645
579	6.81705804
580	6.815799353
581	6.814213572
582	6.812569922
583	6.811382263
584	6.808457588
585	6.80668257
586	6.804476554
587	6.803424547
588	6.802197565
589	6.800944277
590	6.800378988
591	6.799155676
592	6.797871969
593	6.79766053
594	6.795832129
595	6.794764684
596	6.793296009
597	6.792322642
598	6.791145457
599	6.789965548
600	6.788380157
601	6.787710793
602	6.786592717
603	6.786403288
604	6.785176178
605	6.783786921
606	6.782986056
607	6.780893157
608	6.779564649
609	6.777935079
610	6.775869871
611	6.774477597
612	6.773423486
613	6.771547609
614	6.770229713
615	6.768844765
616	6.766529764
617	6.766247146
618	6.764359377
619	6.762200967
620	6.761189754
621	6.760496313
622	6.758729482
623	6.756062334
624	6.754615107
625	6.752920515
626	6.752117856
627	6.751926308
628	6.750816151
629	6.748905073
630	6.747938112
631	6.747383722
632	6.746519631
633	6.744805197
634	6.743599322
635	6.742302573
636	6.740535696
637	6.738318076
638	6.737392772
639	6.736673466
640	6.735410363
641	6.733752772
642	6.732185746
643	6.731060264
644	6.730412815
645	6.728970231
646	6.726481677
647	6.725465412
648	6.724306543
649	6.722799964
650	6.721406964
651	6.720053807
652	6.719612301
653	6.719437991
654	6.717713311
655	6.716839591
656	6.71511476
657	6.714945697
658	6.71354032
659	6.711281059
660	6.708732015
661	6.707807245
662	6.706184607
663	6.70546711
664	6.704078077
665	6.702908872
666	6.700624565
667	6.699589362
668	6.698413677
669	6.697020933
670	6.695659618
671	6.694139469
672	6.69272718
673	6.690174182
674	6.688681076
675	6.686659619
676	6.685344085
677	6.6831189
678	6.682154379
679	6.681976759
680	6.680213778
681	6.678109593
682	6.676534866
683	6.675133504
684	6.674378777
685	6.673562208
686	6.672167263
687	6.67197429
688	6.670169296
689	6.669194168
690	6.668088068
691	6.666638651
692	6.665182359
693	6.66401322
694	6.663381467
695	6.662430267
696	6.661497221
697	6.660347844
698	6.658432312
699	6.657212409
700	6.655793439
701	6.654140751
702	6.652420312
703	6.651431985
704	6.651273184
705	6.650184696
706	6.648999852
707	6.647616786
708	6.646608337
709	6.645041109
710	6.643050978
711	6.641405774
712	6.64053254
713	6.639350259
714	6.63867505
715	6.637600079
716	6.637058483
717	6.635848347
718	6.634543055
719	6.634049132
720	6.633046212
721	6.632156258
722	6.630940441
723	6.630786126
724	6.630387495
725	6.629223576
726	6.627957928
727	6.627699663
728	6.625981315
729	6.624947362
730	6.624199811
731	6.623171119
732	6.621802623
733	6.620456384
734	6.618807668
735	6.617849257
736	6.61670699
737	6.614478876
738	6.612781596
739	6.611479226
740	6.609852718
741	6.60895677
742	6.607477205
743	6.606559117
744	6.605459459
745	6.604250121
746	6.603136055
747	6.601398
748	6.600532432
749	6.599600132
750	6.597988583
751	6.595278899
752	6.594079443
753	6.593420095
754	6.592546971
755	6.590716299
756	6.58853289
757	6.587467973
758	6.587319535
759	6.585960422
760	6.584455133
761	6.583356854
762	6.582479883
763	6.580356814
764	6.578512822
765	6.578186455
766	6.577826692
767	6.576153593
768	6.574112228
769	6.572153482
770	6.569605311
771	6.568525428
772	6.566695849
773	6.565951161
774	6.565334508
775	6.564285517
776	6.564141348
777	6.562890051
778	6.562050622
779	6.561269896
780	6.560326126
781	6.559923958
782	6.558294592
783	6.558051397
784	6.557189432
785	6.555793695
786	6.553989128
787	6.553077033
788	6.5518311
789	6.550694833
790	6.549609946
791	6.548944536
792	6.547381914
793	6.546789847
794	6.545726153
795	6.545326383
796	6.543971452
797	6.543017756
798	6.541147792
799	6.540096589
800	6.538796702
801	6.537148722
802	6.53565296
803	6.534152779
804	6.53192604
805	6.530745217
806	6.528997328
807	6.527626125
808	6.525833601
809	6.524618269
810	6.523407258
811	6.522026583
812	6.520826055
813	6.519436412
814	6.519297407
815	6.518508393
816	6.517336666
817	6.516213572
818	6.514909406
819	6.512759381
820	6.511671604
821	6.510796538
822	6.509637864
823	6.508981975
824	6.508414965
825	6.508088051
826	6.507251911
827	6.50681862
828	6.504454706
829	6.503492467
830	6.502562755
831	6.501616996
832	6.500424011
833	6.499082676
834	6.498280568
835	6.497126821
836	6.49595732
837	6.495120731
838	6.494719986
839	6.493668338
840	6.492842995
841	6.491705826
842	6.491219926
843	6.490163028
844	6.488663199
845	6.487734333
846	6.486710155
847	6.486373328
848	6.484449836
849	6.483664726
850	6.482844117
851	6.48253642
852	6.48123874
853	6.4807687
854	6.479480356
855	6.478696848
856	6.477109501
857	6.475585599
858	6.474312113
859	6.473248037
860	6.47184054
861	6.470128879
862	6.468875961
863	6.468739853
864	6.467131612
865	6.465641471
866	6.464382154
867	6.462222502
868	6.461046448
869	6.4602248
870	6.45941331
871	6.457689837
872	6.456408311
873	6.454853728
874	6.454009718
875	6.452489965
876	6.450929609
877	6.449846272
878	6.448285663
879	6.447344133
880	6.446171407
881	6.445335707
882	6.444923937
883	6.443441337
884	6.442284728
885	6.441823903
886	6.44138305
887	6.440218049
888	6.439012988
889	6.436998458
890	6.436006646
891	6.43439325
892	6.433453338
893	6.432724237
894	6.43147479
895	6.430709226
896	6.429755336
897	6.428891586
898	6.428069249
899	6.42706399
900	6.426759146
901	6.425818386
902	6.424976341
903	6.424334089
904	6.423675859
905	6.423028074
906	6.421744449
907	6.420891902
908	6.419383911
909	6.418513428
910	6.417692878
911	6.415893797
912	6.414141668
913	6.413716345
914	6.412385398
915	6.411476439
916	6.41079274
917	6.410001208
918	6.409597983
919	6.40882753
920	6.407612183
921	6.40725979
922	6.40616493
923	6.404657525
924	6.403942862
925	6.403147474
926	6.401988154
927	6.401720151
928	6.400529234
929	6.400404313
930	6.399621437
931	6.398428995
932	6.397244559
933	6.395970656
934	6.394931201
935	6.393762791
936	6.39239557
937	6.391497756
938	6.39093003
939	6.390120355
940	6.389100073
941	6.38804472
942	6.386466473
943	6.385671609
944	6.384799741
945	6.383374463
946	6.382211122
947	6.380715633
948	6.380281032
949	6.379393584
950	6.37806009
951	6.377351453
952	6.375865163
953	6.374738076
954	6.373395062
955	6.372304607
956	6.371470189
957	6.37042142
958	6.368958745
959	6.368497499
960	6.366977063
961	6.366145294
962	6.364904791
963	6.363453587
964	6.362142646
965	6.361429007
966	6.361140205
967	6.360900724
968	6.359461559
969	6.359340552
970	6.358053005
971	6.356911342
972	6.356065236
973	6.354936476
974	6.354026401
975	6.352066879
976	6.350519969
977	6.349558657
978	6.348844293
979	6.348158701
980	6.346846982
981	6.34533481
982	6.344929971
983	6.343832316
984	6.342845295
985	6.342461968
986	6.341401949
987	6.339997304
988	6.338936013
989	6.337911732
990	6.336915533
991	6.336110214
992	6.334618232
993	6.334277502
994	6.333942022
995	6.332977944
996	6.331931638
997	6.331713544
998	6.330379474
999	6.329531934
