iter	Passed	Remaining
0	6	6023
1	11	5909
2	17	5670
3	22	5541
4	27	5410
5	32	5367
6	37	5327
7	43	5334
8	48	5327
9	54	5367
10	59	5388
11	65	5385
12	70	5347
13	75	5318
14	80	5298
15	85	5247
16	90	5207
17	94	5165
18	99	5132
19	103	5095
20	108	5058
21	113	5023
22	117	4990
23	122	4962
24	126	4935
25	131	4920
26	136	4906
27	140	4888
28	145	4871
29	150	4855
30	154	4837
31	159	4823
32	164	4815
33	169	4805
34	173	4787
35	178	4779
36	183	4769
37	187	4753
38	192	4738
39	196	4727
40	201	4724
41	206	4721
42	211	4715
43	216	4708
44	221	4703
45	227	4710
46	232	4718
47	238	4721
48	243	4729
49	248	4730
50	254	4737
51	259	4729
52	264	4733
53	270	4733
54	275	4740
55	281	4741
56	287	4748
57	292	4758
58	298	4763
59	304	4769
60	310	4773
61	315	4776
62	321	4779
63	326	4777
64	331	4771
65	336	4766
66	342	4764
67	347	4758
68	352	4755
69	357	4750
70	362	4741
71	366	4730
72	371	4719
73	376	4712
74	381	4699
75	385	4685
76	389	4672
77	394	4661
78	398	4648
79	403	4638
80	407	4627
81	412	4617
82	416	4604
83	421	4593
84	425	4584
85	430	4577
86	435	4566
87	439	4556
88	444	4546
89	448	4535
90	453	4529
91	457	4519
92	462	4512
93	467	4504
94	472	4500
95	477	4497
96	482	4492
97	487	4491
98	493	4490
99	499	4491
100	504	4491
101	509	4487
102	515	4485
103	520	4484
104	526	4483
105	531	4484
106	536	4481
107	542	4480
108	547	4478
109	553	4476
110	558	4476
111	563	4471
112	568	4465
113	574	4461
114	579	4455
115	584	4451
116	589	4448
117	594	4447
118	600	4444
119	606	4444
120	611	4442
121	616	4437
122	621	4434
123	627	4431
124	632	4424
125	637	4419
126	641	4412
127	646	4406
128	651	4399
129	655	4389
130	660	4380
131	664	4370
132	668	4360
133	673	4353
134	678	4345
135	682	4334
136	686	4327
137	691	4318
138	695	4310
139	700	4302
140	704	4294
141	709	4288
142	714	4281
143	719	4274
144	723	4266
145	728	4259
146	732	4251
147	736	4242
148	741	4236
149	746	4229
150	750	4222
151	755	4214
152	759	4206
153	764	4198
154	769	4192
155	773	4187
156	779	4183
157	784	4178
