MUSTERI_GRUBU;MUSTERI;GIYSI_GRUBU;GIYSI_CINSI;GIYSI_CINSI_DETAYI;MODELID;MODEL;MODEL_REF_NO;SIPARISID;MUSTERI_TERMIN;PLAN_TERMIN;URETIM_ONAY_TARIHI;YUKLENDI;YUKLEME_TARIHI;SIPARIS_YILI;SIPARIS_ADEDI;SIPARIS_PLAN_ADEDI;YUKLEME;KALAN;KESIM_CIKIS;DIKIM_GIRIS;DIKIM_CIKIS;MES_ModelID
HEMA;HEMA / Kids;ÇOCUK;T-Shirt;Kısa Kol;11417;308626 TOMMIE DROPPED T SHIRT;NULL;3981;2024-03-12 00:00:00.000;2024-03-12 00:00:00.000;NULL;1;2024-03-13 00:00:00.000;2023;14292;14718;14632;0;14806;14806;14806;298
ITFAS;KIABI - JR GIRL;BAYAN;T-Shirt;Uzun Kol;11633;" CDKS24HDANS - BTL74 ";SD 1127;3985;2024-01-22 00:00:00.000;2024-01-22 00:00:00.000;NULL;1;2024-02-08 00:00:00.000;2023;32073;32736;21372;10701;32945;32945;32848;297
ITFAS;KIABI WOMAN - MAMA;BAYAN;T-Shirt;Kısa Kol;11684;TOLS24GTMAC  BTW38;SY-0620;3988;2024-01-11 00:00:00.000;2024-01-08 00:00:00.000;NULL;1;2024-01-25 00:00:00.000;2023;15870;16186;16014;0;16429;16429;16429;300
ITFAS;KIABI KIDS;ÇOCUK;Sweatshirt;Kapşonsuz;11727;CVKS24SSP22 BVE32;;3991;2024-02-08 00:00:00.000;2024-02-08 00:00:00.000;NULL;1;2024-02-08 00:00:00.000;2023;14170;14454;14254;0;14765;14765;14751;307
ITFAS;KIABI KIDS;ÇOCUK;Elbise;3/4 kol;11731;SBKS24DSPO2 BUB 59;IY-0367;3994;2024-02-01 00:00:00.000;2024-02-01 00:00:00.000;NULL;1;2024-02-13 00:00:00.000;2023;22113;22558;22300;0;22585;22585;22564;309
ITFAS;KIABI - JR GIRL;BAYAN;T-Shirt;Uzun Kol;11808;CDKS24HDONU (BXA79);SD 1127;3995;2024-02-06 00:00:00.000;2024-02-01 00:00:00.000;NULL;1;2024-02-15 00:00:00.000;2023;14162;14446;14065;97;14968;14968;14937;306
C&A;C&A / 344 - 345 Kids Girls Tops;ÇOCUK;T-Shirt;Kısa Kol;11884;2219642;BUBBLE TEE;4011;2024-02-09 00:00:00.000;2024-02-09 00:00:00.000;2023-12-21 11:15:49.243;1;2024-02-12 00:00:00.000;2023;20625;21043;20870;0;21153;21153;21153;313
ITFAS;KIABI BABY;BEBEK;T-Shirt;Kısa Kol;11804;MSBS24HMACR;BABY TS;4021;2024-03-14 00:00:00.000;2024-03-14 00:00:00.000;NULL;1;2024-03-21 00:00:00.000;2023;6412;6543;6363;49;6618;6618;6589;317
C&A;C&A / 122-124 Yessica Tops;BAYAN;T-Shirt;Kısa Kol;11867;2222518 AMBER 01;"BB 0607 ";4024;2024-04-17 00:00:00.000;2024-04-05 00:00:00.000;NULL;1;2024-04-17 00:00:00.000;2023;27981;28544;28751;0;28883;28883;28841;323
C&A;C&A / 122-124 Yessica Tops;BAYAN;T-Shirt;Kısa Kol;11869;2222514 Gizelle 01;DN 001;4026;2024-04-17 00:00:00.000;2024-04-05 00:00:00.000;NULL;1;2024-04-22 00:00:00.000;2023;13564;13840;13582;0;14753;14753;14733;318
C&A;C&A / 344 - 345 Kids Girls Tops;ÇOCUK;T-Shirt;Kısa Kol;12011;2225249;BUBBLE TEE;4042;2024-02-09 00:00:00.000;2024-02-09 00:00:00.000;2023-12-21 11:15:39.233;1;2024-02-09 00:00:00.000;2023;19824;20221;20400;0;20577;20577;20577;305
C&A;C&A / 660-664-665-667-669-752-771 Clockhouse Girls;BAYAN;Bluz;Uzun Kollu;12015;2220847 Begonia;;4046;2024-03-11 00:00:00.000;2024-03-11 00:00:00.000;NULL;1;2024-03-08 00:00:00.000;2023;15910;16284;16135;0;16343;16343;16305;324
C&A;C&A / 024-074 Yessica Dress;BAYAN;Elbise;Kısa kollu elbise;12142;2222546 Bogotana;SY-0667 REV;4065;2024-03-12 00:00:00.000;2024-03-07 00:00:00.000;NULL;1;2024-03-25 00:00:00.000;2024;29172;29758;29372;0;29826;29826;29799;330
C&A;C&A / 024-074 Yessica Dress;BAYAN;Elbise;Kolsuz elbise;12143;2222617 Barilan;SY-0684 REV;4066;2024-04-16 00:00:00.000;2024-04-26 00:00:00.000;NULL;1;2024-04-25 00:00:00.000;2024;4637;4772;4707;0;4969;4969;4969;349
C&A;C&A / 024-074 Yessica Dress;BAYAN;Tulum;Kısa Kollu Tulum;12144;2223370 Dilamon CS;SY-0686;4067;2024-04-16 00:00:00.000;2024-04-15 00:00:00.000;NULL;1;2024-04-29 00:00:00.000;2024;11635;11955;11731;0;12188;12188;12151;355
C&A;C&A / 346 Toddler Girls Tops;ÇOCUK;T-Shirt;Kısa Kol;12146;2225749;SO-2215;4072;2024-03-08 00:00:00.000;2024-03-08 00:00:00.000;2024-03-01 14:39:00.673;1;2024-03-18 00:00:00.000;2024;12711;13005;13029;0;13110;13110;13110;339
SPRING;SPRING SAINSBURYS / Girls;ÇOCUK;Elbise;Kısa kollu elbise;12234;144430499 MIDI TUTU DRESS;NULL;4077;2024-02-29 00:00:00.000;2024-02-29 00:00:00.000;NULL;1;2024-03-14 00:00:00.000;2024;4000;4160;4110;0;4222;4222;4222;337
SPRING;SPRING SAINSBURYS / Girls;ÇOCUK;T-Shirt;Tanktop;12324;144492075 METALIC SILVER VEST;NULL;4095;2024-03-07 00:00:00.000;2024-03-07 00:00:00.000;NULL;1;2024-03-07 00:00:00.000;2024;1180;1231;1180;0;1227;1227;1227;336
C&A;C&A / 354 Kids Girls Dress;ÇOCUK;Elbise;Kolsuz elbise;12363;2225757;SO-2264-SET;4111;2024-04-24 00:00:00.000;2024-04-24 00:00:00.000;2024-03-01 14:39:17.950;1;2024-04-29 00:00:00.000;2024;5194;5338;5254;0;5421;5421;5417;360
ITFAS;KIABI WOMAN - MAMA;BAYAN;T-Shirt;Oyuk Kol;12382;"TOLS24GDAME ";BC 0864;4123;2024-04-30 00:00:00.000;2024-04-26 00:00:00.000;NULL;1;2024-05-09 00:00:00.000;2024;1995;2195;2025;0;2350;2350;2350;368
ITFAS;KIABI - MATERNITY;BAYAN;Elbise;Kısa kollu elbise;12384;HVLS24RTURQ - CET84;;4125;2024-04-26 00:00:00.000;2024-04-22 00:00:00.000;NULL;1;2024-04-25 00:00:00.000;2024;8650;8821;8526;124;8634;8634;8634;352
C&A;C&A / 356 Toddler Girls Dress;ÇOCUK;Elbise;Askılı elbise;12385;2218178;SO-2269-2318;4131;2024-05-07 00:00:00.000;2024-05-07 00:00:00.000;2024-04-15 16:11:04.873;1;2024-05-24 00:00:00.000;2024;46432;47386;47180;0;47912;47912;47912;364
C&A;C&A / 660-664-665-667-669-752-771 Clockhouse Girls;BAYAN;Elbise;Kolsuz elbise;12659;2228285 Carrie;SD 1373;4160;2024-05-27 00:00:00.000;2024-05-27 00:00:00.000;NULL;1;2024-05-31 00:00:00.000;2024;8511;8687;8646;0;8773;8773;8773;378
ITFAS;KIABI - MATERNITY;BAYAN;Elbise;Kısa kollu elbise;12749;ARLW24RBATO - CET74;;4174;2024-05-14 00:00:00.000;2024-05-09 00:00:00.000;NULL;1;2024-06-06 00:00:00.000;2024;9143;9522;9140;3;9554;9554;9534;376
ITFAS;KIABI - JR GIRL;BAYAN;T-Shirt;Uzun Kol;12866;"CDKW24HBARG / CLP12 ";"SD 1314 ";4202;2024-06-24 00:00:00.000;2024-06-24 00:00:00.000;NULL;1;2024-06-13 00:00:00.000;2024;9158;9341;9425;0;9554;9554;9522;388
ITFAS;KIABI - JR GIRL;BAYAN;Elbise;uzun kollu elbise;12867;CDKW24DTURQ / CLP18;SD 1442;4203;2024-07-11 00:00:00.000;2024-07-08 00:00:00.000;NULL;1;2024-07-11 00:00:00.000;2024;9476;9678;9294;182;9555;9555;9517;398
ITFAS;KIABI - JR GIRL;BAYAN;T-Shirt;Uzun Kol;12870;"CDKW24HLELO / CLP91 ";;4205;2024-06-27 00:00:00.000;2024-07-01 00:00:00.000;NULL;1;2024-07-04 00:00:00.000;2024;4980;5081;5024;0;5136;5136;5103;395
