Column,Category,Frequency,Category_Sorted
Tarih,2024-02-12,1,2024-02-12
Tarih,2024-04-19,1,2024-04-19
Tarih,2024-04-30,1,2024-04-30
Tarih,2024-05-09,1,2024-05-09
Tarih,2024-06-21,1,2024-06-21
Tarih,2024-07-13,1,2024-07-13
Tarih,2024-07-20,1,2024-07-20
Tarih,2024-08-08,1,2024-08-08
Tarih,2024-08-09,1,2024-08-09
Tarih,2024-08-15,1,2024-08-15
Tarih,2024-08-17,1,2024-08-17
HataAdi,REGULA,2,REGULA
Tarih,2024-02-01,2,2024-02-01
Tarih,2024-03-25,2,2024-03-25
Tarih,2024-03-26,2,2024-03-26
Tarih,2024-03-30,2,2024-03-30
Tarih,2024-04-20,2,2024-04-20
Tarih,2024-04-23,2,2024-04-23
Tarih,2024-05-21,2,2024-05-21
Tarih,2024-05-24,2,2024-05-24
Tarih,2024-05-25,2,2024-05-25
Tarih,2024-06-28,2,2024-06-28
Tarih,2024-07-12,2,2024-07-12
Tarih,2024-07-29,2,2024-07-29
Tarih,2024-07-30,2,2024-07-30
Tarih,2024-08-06,2,2024-08-06
Tarih,2024-08-14,2,2024-08-14
Tarih,2024-08-16,2,2024-08-16
Tarih,2024-01-04,3,2024-01-04
Tarih,2024-02-02,3,2024-02-02
Tarih,2024-02-06,3,2024-02-06
Tarih,2024-02-13,3,2024-02-13
Tarih,2024-03-19,3,2024-03-19
Tarih,2024-03-28,3,2024-03-28
Tarih,2024-04-01,3,2024-04-01
Tarih,2024-04-22,3,2024-04-22
Tarih,2024-05-04,3,2024-05-04
Tarih,2024-07-02,3,2024-07-02
Tarih,2024-07-11,3,2024-07-11
Tarih,2024-07-31,3,2024-07-31
Tarih,2024-08-02,3,2024-08-02
Tarih,2024-08-12,3,2024-08-12
Tarih,2024-08-20,3,2024-08-20
Tarih,2023-12-13,4,2023-12-13
Tarih,2024-02-03,4,2024-02-03
Tarih,2024-03-20,4,2024-03-20
Tarih,2024-05-10,4,2024-05-10
Tarih,2024-05-13,4,2024-05-13
Tarih,2024-05-22,4,2024-05-22
Tarih,2024-05-28,4,2024-05-28
Tarih,2024-06-25,4,2024-06-25
Tarih,2024-06-26,4,2024-06-26
Tarih,2024-07-08,4,2024-07-08
Tarih,2024-07-09,4,2024-07-09
Tarih,2024-07-22,4,2024-07-22
Tarih,2024-08-05,4,2024-08-05
