Column,Category,Frequency,Category_Sorted
HataAdi,AKSESUAR HATASI,13,AKSESUAR HATASI
HataAdi,BÜZGÜ DAĞILIMI,12,BÜZGÜ DAĞILIMI
HataAdi,DARLI-GENİŞLİ DİKİM,5,DARLI-GENİŞLİ DİKİM
HataAdi,DİKİM DEFOSU,9,DİKİM DEFOSU
HataAdi,METO,11,METO
HataAdi,NAKIS HATASI,9,NAKIS HATASI
HataAdi,PİS PAY,6,PİS PAY
HataAdi,REGULA,2,REGULA
HataAdi,RENK FARKI,14,RENK FARKI
HataAdi,İP,8,İP
ModelID,313,6,313.0
ModelID,318,13,318.0
ModelID,360,3,360.0
ModelID,388,8,388.0
ModelID,408,8,408.0
ModelID,447,12,447.0
SipID,291,6,291.0
SipID,296,13,296.0
SipID,336,3,336.0
SipID,364,8,364.0
SipID,385,8,385.0
SipID,1423,12,1423.0
Tarih,2023-12-13,4,2023-12-13
Tarih,2023-12-14,16,2023-12-14
Tarih,2023-12-15,12,2023-12-15
Tarih,2023-12-18,13,2023-12-18
Tarih,2023-12-19,10,2023-12-19
Tarih,2023-12-21,16,2023-12-21
Tarih,2023-12-22,10,2023-12-22
Tarih,2023-12-28,13,2023-12-28
Tarih,2023-12-29,17,2023-12-29
Tarih,2024-01-02,17,2024-01-02
Tarih,2024-01-03,18,2024-01-03
Tarih,2024-01-04,8,2024-01-04
Tarih,2024-01-09,11,2024-01-09
Tarih,2024-01-15,7,2024-01-15
Tarih,2024-01-19,14,2024-01-19
Tarih,2024-01-20,12,2024-01-20
Tarih,2024-01-22,12,2024-01-22
Tarih,2024-01-23,15,2024-01-23
Tarih,2024-01-24,15,2024-01-24
Tarih,2024-01-25,6,2024-01-25
Tarih,2024-01-26,7,2024-01-26
Tarih,2024-01-27,6,2024-01-27
Tarih,2024-01-30,11,2024-01-30
Tarih,2024-02-01,2,2024-02-01
Tarih,2024-02-02,3,2024-02-02
Tarih,2024-02-03,4,2024-02-03
Tarih,2024-02-06,3,2024-02-06
Tarih,2024-02-07,9,2024-02-07
Tarih,2024-02-09,7,2024-02-09
Tarih,2024-02-12,1,2024-02-12
Tarih,2024-02-13,3,2024-02-13
Tarih,2024-02-14,12,2024-02-14
Tarih,2024-02-15,16,2024-02-15
Tarih,2024-02-17,5,2024-02-17
Tarih,2024-02-19,17,2024-02-19
Tarih,2024-02-21,14,2024-02-21
Tarih,2024-02-22,7,2024-02-22
Tarih,2024-02-23,10,2024-02-23
Tarih,2024-02-24,12,2024-02-24
Tarih,2024-02-26,8,2024-02-26
Tarih,2024-02-27,10,2024-02-27
Tarih,2024-02-29,18,2024-02-29
Tarih,2024-03-02,16,2024-03-02
Tarih,2024-03-05,17,2024-03-05
Tarih,2024-03-08,12,2024-03-08
Tarih,2024-03-11,19,2024-03-11
Tarih,2024-03-12,16,2024-03-12
Tarih,2024-03-13,16,2024-03-13
Tarih,2024-03-14,15,2024-03-14
Tarih,2024-03-15,16,2024-03-15
Tarih,2024-03-16,6,2024-03-16
Tarih,2024-03-18,11,2024-03-18
Tarih,2024-03-19,3,2024-03-19
Tarih,2024-03-20,4,2024-03-20
Tarih,2024-03-25,2,2024-03-25
Tarih,2024-03-26,3,2024-03-26
Tarih,2024-03-27,6,2024-03-27
Tarih,2024-03-28,3,2024-03-28
Tarih,2024-03-29,10,2024-03-29
Tarih,2024-03-30,2,2024-03-30
Tarih,2024-04-01,3,2024-04-01
Tarih,2024-04-02,10,2024-04-02
Tarih,2024-04-03,6,2024-04-03
Tarih,2024-04-04,13,2024-04-04
Tarih,2024-04-05,7,2024-04-05
Tarih,2024-04-06,8,2024-04-06
Tarih,2024-04-08,6,2024-04-08
Tarih,2024-04-15,12,2024-04-15
Tarih,2024-04-16,15,2024-04-16
Tarih,2024-04-17,9,2024-04-17
Tarih,2024-04-18,5,2024-04-18
Tarih,2024-04-19,1,2024-04-19
Tarih,2024-04-20,2,2024-04-20
Tarih,2024-04-22,3,2024-04-22
Tarih,2024-04-23,4,2024-04-23
Tarih,2024-04-24,9,2024-04-24
Tarih,2024-04-25,11,2024-04-25
Tarih,2024-04-26,5,2024-04-26
Tarih,2024-04-29,16,2024-04-29
Tarih,2024-04-30,1,2024-04-30
Tarih,2024-05-02,11,2024-05-02
Tarih,2024-05-03,5,2024-05-03
Tarih,2024-05-04,3,2024-05-04
Tarih,2024-05-06,7,2024-05-06
Tarih,2024-05-07,5,2024-05-07
Tarih,2024-05-08,5,2024-05-08
Tarih,2024-05-09,2,2024-05-09
Tarih,2024-05-10,4,2024-05-10
Tarih,2024-05-13,4,2024-05-13
Tarih,2024-05-14,8,2024-05-14
Tarih,2024-05-15,6,2024-05-15
Tarih,2024-05-16,6,2024-05-16
Tarih,2024-05-17,15,2024-05-17
Tarih,2024-05-18,12,2024-05-18
Tarih,2024-05-20,9,2024-05-20
Tarih,2024-05-21,2,2024-05-21
Tarih,2024-05-22,4,2024-05-22
Tarih,2024-05-23,6,2024-05-23
Tarih,2024-05-24,2,2024-05-24
Tarih,2024-05-25,2,2024-05-25
Tarih,2024-05-27,7,2024-05-27
Tarih,2024-05-28,4,2024-05-28
Tarih,2024-05-29,6,2024-05-29
Tarih,2024-05-30,11,2024-05-30
Tarih,2024-05-31,11,2024-05-31
Tarih,2024-06-01,11,2024-06-01
Tarih,2024-06-03,12,2024-06-03
Tarih,2024-06-04,19,2024-06-04
Tarih,2024-06-05,17,2024-06-05
Tarih,2024-06-06,11,2024-06-06
Tarih,2024-06-07,14,2024-06-07
Tarih,2024-06-12,5,2024-06-12
Tarih,2024-06-13,5,2024-06-13
Tarih,2024-06-14,5,2024-06-14
Tarih,2024-06-20,6,2024-06-20
Tarih,2024-06-21,1,2024-06-21
Tarih,2024-06-24,6,2024-06-24
Tarih,2024-06-25,5,2024-06-25
Tarih,2024-06-26,5,2024-06-26
Tarih,2024-06-27,8,2024-06-27
Tarih,2024-06-28,2,2024-06-28
Tarih,2024-07-02,3,2024-07-02
Tarih,2024-07-04,7,2024-07-04
Tarih,2024-07-05,6,2024-07-05
Tarih,2024-07-06,14,2024-07-06
Tarih,2024-07-08,6,2024-07-08
Tarih,2024-07-09,5,2024-07-09
Tarih,2024-07-10,6,2024-07-10
Tarih,2024-07-11,4,2024-07-11
Tarih,2024-07-12,4,2024-07-12
Tarih,2024-07-13,2,2024-07-13
Tarih,2024-07-17,6,2024-07-17
Tarih,2024-07-19,6,2024-07-19
Tarih,2024-07-20,1,2024-07-20
Tarih,2024-07-22,4,2024-07-22
Tarih,2024-07-26,7,2024-07-26
Tarih,2024-07-29,3,2024-07-29
Tarih,2024-07-30,4,2024-07-30
Tarih,2024-07-31,4,2024-07-31
Tarih,2024-08-02,3,2024-08-02
Tarih,2024-08-05,4,2024-08-05
Tarih,2024-08-06,2,2024-08-06
Tarih,2024-08-07,4,2024-08-07
Tarih,2024-08-08,1,2024-08-08
Tarih,2024-08-09,1,2024-08-09
Tarih,2024-08-12,3,2024-08-12
Tarih,2024-08-14,2,2024-08-14
Tarih,2024-08-15,1,2024-08-15
Tarih,2024-08-16,2,2024-08-16
Tarih,2024-08-17,1,2024-08-17
Tarih,2024-08-20,3,2024-08-20
Tarih,2024-08-21,6,2024-08-21
Tarih,2024-08-22,8,2024-08-22
Tarih,2024-08-23,6,2024-08-23
